Date,Item,Quantity,Price,Discount
10/31/2023,KS STRAWPRE,421793,8.79,
10/31/2023,BULLY STICK,1542618,41.89,
10/31/2023,CT,16,17.89,
10/31/2023,KS OATS,1736339,7.99,
10/31/2023,ORGANIC GRN,598881,19.89,
10/31/2023,GOLDFISH ,1542070,6612.29,
10/31/2023,KS MATURE *,33406,36.69,
10/31/2023,CURRYPOWDE,223368,7.29,
10/31/2023,KETCHUP,549721,12.99,
10/31/2023,KS ULTRA LI,1239521,18.89,
10/31/2023,PLYTISSU,3,17.49,
10/31/2023,**KS BATH**,6262016,19.49,
10/31/2023,BASMATI RIC,132666,19.69,
10/31/2023,PISTACHIO,1076903,14.99,
10/31/2023,KS LBC,1736931,13.99,
10/31/2023,WILD ALBACO,7552,15.99,
10/31/2023,BLACK BEANS,1011354,7.99,.00
10/31/2023,KS ALMONDS,284601,8.99,
10/31/2023,**KS TOWEL*,1742835,19.49,
10/31/2023,Total,,320.71,
10/31/2023,Tax,,9.14,
07/09/2023,KS MATURE *,11178950035933406,36.69,
07/09/2023,FRZ QRT ZIP,921389,16.79,
07/09/2023,KS HEMP HRT,1388341,12.69,
07/09/2023,PURE VANILL,1072687,11.99,
07/09/2023,**KS TOWEL*,512599,19.89,
07/09/2023,CHIA SEED,1253040,9.59,
07/09/2023,FRZ GAL ZIP,921279,17.99,
07/09/2023,CT,16,17.89,.00
07/09/2023,**KS BATH**,6262016,39.98,
07/09/2023,V,9,19.99,
07/09/2023,BLACK BEANS,1011354,7.99,
07/09/2023,ORGANICGRN,598881,19.89,
07/09/2023,ROTISSERIE,87745,4.99,
07/09/2023,VPMARINE CO,1688164,19.97,
07/09/2023,KS DISH PAC,1452518,11.59,
07/09/2023,KS ULTRA LI,1239521,18.89,
07/09/2023,QUAKEROATS,446586,10.99,
07/09/2023,Total,,307.79,
07/09/2023,Tax,,9.58,
08/31/2023,ANDOUILLE S,1451835,14.99,.00
08/31/2023,QUAKEROATS,446586,12.79,
08/31/2023,PLYTISSU,3,34.98,
08/31/2023,KS MATURE *,33406,36.69,
08/31/2023,ROTISSERIE,87745,4.99,
08/31/2023,BULLY STICK,1542618,41.89,
08/31/2023,TACOSEASON,864994,5.99,
08/31/2023,BLACK BEANS,1011354,7.99,
08/31/2023,LB SUGAR,35584410,15.78,
08/31/2023,CT,16,17.89,
08/31/2023,**KS BATH**,6262016,19.99,
08/31/2023,ORGANIC OAT,1380620,9.99,
08/31/2023,GOLDFISH ,1542070,6612.29,
08/31/2023,Total,,232.25,
08/31/2023,Tax,,8.19,
05/04/2023,Total,,65.68,
05/04/2023,Tax,,2.26,
08/31/2023,Total,,47.48,
08/31/2023,Tax,,0.00,
02/08/2023,GOLDFISH ,1542070,6612.29,
02/08/2023,CHIA SEED,1253040,9.59,
02/08/2023,GLD STR REN,428409,60.00,
02/08/2023,Total,,81.88,
02/08/2023,Tax,,0.00,
09/12/2023,CHIA SEED,1253040,9.59,
09/12/2023,Total,,9.59,
09/12/2023,Tax,,0.00,
09/12/2023,Total,,79.79,
09/12/2023,Tax,,0.00,
03/11/2023,Total,,82.79,
03/11/2023,Tax,,0.00,
03/11/2023,SOFTSOAP,617686,8.99,
03/11/2023,Total,,22.98,
03/11/2023,Tax,,1.38,
05/04/2023,VENUSDELUXE,1117895003601491046,36.99,.00
05/04/2023,KS MATURE *,33406,36.69,
05/04/2023,CHICK PEAS,1011378,7.99,
05/04/2023,KSCOCOWTR ,1495250,119.69,
05/04/2023,BLACK BEANS,1011354,15.98,
05/04/2023,PC SET,4,19.99,.00
05/04/2023,Total,,121.33,
05/04/2023,Tax,,3.70,
06/08/2023,Total,,79.79,
06/08/2023,Tax,,0.00,
06/08/2023,BULLY STICK,1117895003601542618,41.89,
06/08/2023,Total,,41.89,
06/08/2023,Tax,,2.51,
05/27/2023,CHICK PEAS,1011378,7.99,
05/27/2023,KS DISH PAC,1452518,11.59,
05/27/2023,FRZ QRT ZIP,921389,16.79,
05/27/2023,WATERMELON,4032,6.99,
05/27/2023,KS NAPKIN,1585373,11.99,
05/27/2023,GOLDFISH ,1542070,6612.29,
05/27/2023,ROTISSERIE,87745,4.99,
05/27/2023,FRZ GAL ZIP,921279,17.99,
05/27/2023,Total,,90.62,
05/27/2023,Tax,,3.80,
03/11/2023,BLACK BEANS,1011354,15.98,
03/11/2023,**KS BATH**,6262016,19.99,
03/11/2023,CHIA SEED,1253040,9.59,
03/11/2023,KSCOCOWTR,1495250,122.99,
03/11/2023,BULLY STICK,1542618,41.89,
03/11/2023,GLIDE FLOSS,1269199,14.99,
03/11/2023,KS ND TURKE,533119,37.69,
03/11/2023,ANDOUILLE S,1451835,29.98,
03/11/2023,BASMATI RIC,132666,20.49,
03/11/2023,GOLDFISH ,1542070,6612.29,
03/11/2023,Total,,225.88,
03/11/2023,Tax,,4.77,
01/14/2023,CT,16,16.89,
01/14/2023,**KS BATH**,6262016,19.99,
01/14/2023,ORGANICGRN,598881,19.89,
01/14/2023,KS NAPKIN,1585373,11.99,
01/14/2023,KS ULTRA LI,1239521,18.89,
01/14/2023,PALMOLIVE,1032422,9.29,
01/14/2023,QUAKEROATS,446586,12.79,
01/14/2023,BLACK BEANS,1011354,7.99,
